category_code,year,period,world_rank,world_rank_numeric,national_rank,regional_rank,overall_score,rank_change,trend,source_url,notes
greenmetric,2024,Annual,TBD,,13,,,,,stable,https://greenmetric.ui.ac.id/rankings/overall-rankings-2024,"UI GreenMetric 2024: National rank 13th among 183 Indonesian universities. Top performers: UI, Undip, UGM. Focuses on environmental sustainability."
greenmetric,2023,Annual,577,577,12,,,,,stable,https://greenmetric.ui.ac.id/rankings/overall-rankings-2023,"UI GreenMetric 2023: World rank 577 out of 1,183 universities from 94 countries. National rank 12 among sustainable campuses in Indonesia."
qs,2025,Annual,1401+,1401,,,,0,stable,https://www.topuniversities.com/universities/university-lampung,"QS World University Rankings 2025. Ranked 1401+ globally among world universities. Top 3 best universities in Sumatra."
qs,2024,Annual,1401+,1401,,,,,stable,https://www.topuniversities.com/universities/university-lampung,QS World University Rankings 2024
qs,2023,Annual,1401+,1401,,,,,stable,https://www.topuniversities.com/universities/university-lampung,QS World University Rankings 2023
the,2024,Annual,1500,1500,16,,,,,up,https://www.timeshighereducation.com/world-university-rankings/university-lampung,"THE WUR 2024: Top 1500 from 1,904 universities in 108 countries. 16th best in Indonesia. Top 3 in Sumatra alongside USK and Unand."
the,2023,Annual,1500+,1500,,,,,stable,https://www.timeshighereducation.com/world-university-rankings/university-lampung,THE WUR 2023 - Historical data
webometrics,2025,January,1588,1588,17,,,-10,down,https://webometrics.info/en/Asia/Indonesia,"Webometrics January 2025: World rank 1588, National rank 17. Dropped from previous ranking. Based on web presence and scientific publications. PTN #1 outside Java."
webometrics,2024,July,TBD,,17,,,0,stable,https://webometrics.info/en/Asia/Indonesia,"Webometrics July 2024: Among top 20 Indonesian universities. National rank 17."
webometrics,2024,January,,,,,,,stable,https://webometrics.info/en/Asia/Indonesia,Webometrics January 2024 - Historical data
webometrics,2023,July,,,,,,,stable,https://webometrics.info/en/Asia/Indonesia,Webometrics July 2023 - Historical data
